,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
459,Opuwo,-18.0607,13.84,62.15,30,0,8.66,NA,clear sky
460,Maumere,-8.6199,122.2111,77.68,80,20,2.77,ID,few clouds
461,Guaira,-20.3183,-48.3106,88.39,23,5,0.87,BR,clear sky
462,Old Shinyanga,-3.55,33.4,73.04,47,100,0.94,TZ,overcast clouds
463,Alofi,-19.0595,-169.9187,73.29,94,63,4.61,NU,light rain
464,Araouane,18.9048,-3.5265,100.11,15,90,12.46,ML,overcast clouds
465,Maniitsoq,65.4167,-52.9,35.51,77,100,13.0,GL,overcast clouds
466,Mitchell,43.7094,-98.0298,87.78,29,1,10.36,US,clear sky
467,Oussouye,12.485,-16.5469,87.98,59,39,13.2,SN,scattered clouds
468,Otane,-39.8833,176.6333,40.87,91,3,2.24,NZ,clear sky
469,Muros,42.7762,-9.0603,64.69,51,18,12.44,ES,few clouds
470,Port Hedland,-20.3167,118.5667,62.65,77,75,10.36,AU,light rain
471,Belaya Gora,68.5333,146.4167,60.15,38,100,9.73,RU,overcast clouds
472,Amapa,1.0,-52.0,82.96,81,71,3.27,BR,light rain
473,Lasa,46.6166,10.7002,69.71,91,67,2.06,IT,broken clouds
474,Rio Grande,-32.035,-52.0986,68.11,49,4,3.8,BR,clear sky
475,Oppdal,62.5943,9.6912,65.46,40,21,10.22,NO,few clouds
476,Murray Bridge,-35.1167,139.2667,58.75,86,65,8.81,AU,broken clouds
477,Zhangjiakou,40.81,114.8794,59.41,37,0,8.39,CN,clear sky
478,Fortuna,40.5982,-124.1573,63.93,82,90,3.0,US,overcast clouds
479,Suhut,38.5311,30.5458,52.0,67,5,5.93,TR,clear sky
480,Eenhana,-17.4667,16.3333,65.95,24,0,7.23,NA,clear sky
481,Tulu Bolo,8.6667,38.2167,61.65,63,89,2.39,ET,overcast clouds
482,Fairbanks,64.8378,-147.7164,63.1,52,90,5.75,US,overcast clouds
483,Tyukalinsk,55.8732,72.1967,49.71,97,100,5.7,RU,light rain
484,Kulhudhuffushi,6.6221,73.07,82.81,74,100,17.9,MV,overcast clouds
485,Villa Carlos Paz,-31.4241,-64.4978,77.4,54,3,24.0,AR,clear sky
486,Port Blair,11.6667,92.75,83.26,77,97,5.28,IN,overcast clouds
487,Luderitz,-26.6481,15.1594,71.49,28,0,16.51,NA,clear sky
488,Pafos,34.7667,32.4167,69.71,83,20,10.36,CY,few clouds
489,Marsh Harbour,26.5412,-77.0636,79.65,73,36,16.17,BS,scattered clouds
490,Kenai,60.5544,-151.2583,57.02,76,1,4.61,US,clear sky
491,Sahuaripa,29.05,-109.2333,97.02,13,100,6.33,MX,overcast clouds
492,San Andres,12.5847,-81.7006,87.82,66,20,13.8,CO,few clouds
493,Puqi,29.7167,113.8833,63.9,85,100,2.89,CN,overcast clouds
494,Tommot,58.9564,126.2925,49.78,83,19,0.6,RU,few clouds
495,Terra Boa,-23.7681,-52.4442,85.6,55,0,2.75,BR,clear sky
496,Caxias Do Sul,-29.1681,-51.1794,67.82,42,0,6.91,BR,clear sky
497,Cam Ranh,11.9214,109.1591,82.36,74,20,4.99,VN,few clouds
498,Babra,21.85,71.3,85.59,61,0,11.88,IN,clear sky
499,Jiayuguan,39.8167,98.3,61.83,10,3,4.7,CN,clear sky
500,Wangaratta,-36.3667,146.3333,48.4,100,90,0.0,AU,overcast clouds
501,Porto De Moz,-1.7483,-52.2383,83.25,80,17,2.42,BR,few clouds
502,Antalaha,-14.9003,50.2788,71.08,87,61,5.55,MG,broken clouds
503,Komsomolskiy,40.4272,71.7189,83.12,28,81,4.61,UZ,broken clouds
504,Egvekinot,66.3167,-179.1667,27.27,67,10,3.69,RU,clear sky
505,Bima,-8.4667,118.7167,74.03,93,77,2.73,ID,broken clouds
506,Aquiraz,-3.9014,-38.3911,86.09,65,1,7.7,BR,clear sky
507,Ishinomaki,38.4167,141.3,63.99,86,99,25.08,JP,light rain
508,Terra Santa,-2.1042,-56.4869,86.67,64,32,5.3,BR,moderate rain
509,Jalu,29.0331,21.5482,89.19,19,8,12.71,LY,clear sky
510,Karratha,-20.7377,116.8463,68.4,44,100,14.47,AU,light rain
511,Masty,53.4122,24.5387,56.05,79,23,5.7,BY,few clouds
512,Washougal,45.5826,-122.3534,83.7,64,1,0.0,US,clear sky
513,Mandali,33.7499,45.5541,89.98,13,0,10.29,IQ,clear sky
514,Cayenne,4.9333,-52.3333,83.08,80,75,5.01,GF,broken clouds
515,Marsa Matruh,31.3525,27.2453,70.0,63,0,7.4,EG,clear sky
516,Medicine Hat,50.0501,-110.6683,90.84,33,1,4.0,CA,clear sky
517,Guarapari,-20.6667,-40.4975,84.9,71,0,5.66,BR,clear sky
518,Kattivakkam,13.2167,80.3167,86.07,88,100,9.75,IN,overcast clouds
519,Poronaysk,49.2167,143.1167,42.96,99,100,8.1,RU,overcast clouds
520,Husavik,66.0449,-17.3389,49.91,62,100,1.57,IS,overcast clouds
521,Etchojoa,26.9167,-109.6333,97.27,19,0,10.71,MX,clear sky
522,Langsa,4.4683,97.9683,75.4,96,100,2.75,ID,overcast clouds
523,Galbshtadt,53.2264,78.9845,62.24,56,100,8.46,RU,overcast clouds
524,Usinsk,65.9939,57.5281,47.17,70,0,16.82,RU,clear sky
525,Svetlyy,54.675,20.1347,66.25,82,81,6.78,RU,broken clouds
526,Ketchikan,55.3422,-131.6461,52.27,76,90,8.05,US,light rain
527,Dicabisagan,17.0818,122.4157,81.12,79,36,6.96,PH,scattered clouds
528,Indramayu,-6.3264,108.32,81.28,81,89,8.55,ID,overcast clouds
529,Ereymentau,51.6199,73.1033,55.94,64,37,1.1,KZ,scattered clouds
530,San Pedro Del Parana,-26.8333,-56.2,80.35,41,0,6.55,PY,clear sky
531,Dergachi,51.2328,48.7659,60.17,91,100,23.09,RU,moderate rain
532,Inhambane,-23.865,35.3833,67.98,68,0,13.8,MZ,clear sky
533,Harwich,51.9419,1.2844,73.56,73,16,5.01,GB,few clouds
534,Ploemeur,47.7333,-3.4333,61.95,88,75,6.91,FR,broken clouds
535,Nichinan,31.6,131.3667,77.27,94,99,12.88,JP,light rain
536,Corinto,37.9407,22.9573,73.83,71,45,3.74,GR,scattered clouds
537,Tarauaca,-8.1614,-70.7656,87.96,51,97,2.01,BR,overcast clouds
538,Zhoukou,33.6333,114.6333,62.02,66,12,7.54,CN,few clouds
539,Jizan,17.3333,42.6667,92.34,59,4,4.72,SA,clear sky
540,Seoul,37.5683,126.9778,58.44,94,0,3.36,KR,clear sky
541,Liverpool,53.4106,-2.9779,67.95,70,40,4.0,GB,scattered clouds
542,Kutum,14.2,24.6667,88.7,13,100,16.58,SD,overcast clouds
543,Sitio Novo Do Tocantins,-5.5183,-47.4611,82.33,78,75,5.75,BR,broken clouds
544,Ibia,-19.4783,-46.5389,81.91,35,62,8.93,BR,broken clouds
545,Kampene,-3.6,26.6667,69.71,93,23,0.78,CD,few clouds
546,Gusau,12.1628,6.6614,91.71,28,58,7.02,NG,broken clouds
547,Naron,43.5167,-8.1528,61.65,66,71,6.13,ES,broken clouds
548,Saldanha,-33.0117,17.9442,55.45,73,73,7.0,ZA,broken clouds
549,Naze,28.3667,129.4833,75.76,92,100,15.19,JP,overcast clouds
550,Lydenburg,-25.0978,30.4597,49.41,80,100,5.21,ZA,overcast clouds
551,Maputo,-25.9653,32.5892,64.22,68,40,15.01,MZ,scattered clouds
552,Lazaro Cardenas,17.9583,-102.2,87.62,57,87,11.01,MX,overcast clouds
553,Valparaiso,-33.0393,-71.6273,82.04,46,0,17.27,CL,clear sky
554,Macenta,8.5435,-9.471,73.53,94,99,2.26,GN,light rain
555,Te Anau,-45.4167,167.7167,47.48,94,100,3.51,NZ,overcast clouds
556,Kaputa,-8.4689,29.6619,72.01,67,64,1.92,ZM,broken clouds
557,Buala,-8.145,159.5921,79.16,82,93,2.84,SB,overcast clouds
558,Polson,47.6936,-114.1632,85.48,40,73,4.18,US,broken clouds
559,Puerto Baquerizo Moreno,-0.9,-89.6,77.99,69,75,13.8,EC,broken clouds
560,Hofn,64.2539,-15.2082,48.36,83,100,5.5,IS,overcast clouds
561,Alta Gracia,-31.6529,-64.4283,78.89,39,2,13.49,AR,clear sky
562,Puerto Suarez,-18.95,-57.8,93.56,52,75,10.36,BO,broken clouds
563,Nanchang,28.6833,115.8833,64.87,94,100,8.28,CN,light rain
564,Amahai,-3.3333,128.9167,76.95,92,100,6.31,ID,overcast clouds
565,Chifeng,42.2683,118.9636,58.21,53,100,11.43,CN,moderate rain
566,Rawson,-43.3002,-65.1023,47.68,91,100,4.43,AR,light rain
567,Aasiaat,68.7098,-52.8699,33.93,96,100,10.83,GL,overcast clouds
568,Belmopan,17.25,-88.7667,91.78,41,12,8.93,BZ,few clouds
569,Aswan,24.0934,32.907,92.68,9,4,16.04,EG,clear sky
570,Kandrian,-6.2167,149.55,77.0,90,97,1.99,PG,overcast clouds
571,Karatu,-3.3333,35.6667,61.07,78,80,2.46,TZ,broken clouds
572,Clyde River,70.4692,-68.5914,28.63,93,90,13.8,CA,light snow
573,Singaraja,-8.112,115.0882,79.07,79,47,5.26,ID,scattered clouds
574,Sawtell,-30.3833,153.1,53.62,91,1,6.91,AU,clear sky
575,Bonthe,7.5264,-12.505,80.56,83,32,5.68,SL,moderate rain
576,Tatawin,32.9297,10.4518,85.08,61,87,11.27,TN,overcast clouds
577,Severnoye,56.3491,78.3619,53.15,55,100,4.88,RU,overcast clouds
578,Tabou,4.423,-7.3528,80.17,82,100,7.29,CI,overcast clouds
579,Norsup,-16.0667,167.3833,73.99,80,54,6.33,VU,broken clouds
580,Turkistan,43.0,68.0,83.23,22,0,6.8,KZ,clear sky
581,Englewood,39.6478,-104.9878,83.03,31,40,1.01,US,scattered clouds
582,Kuantan,3.8077,103.326,80.71,88,20,4.09,MY,few clouds
583,Veraval,20.9,70.3667,83.59,79,40,11.12,IN,scattered clouds
584,Monterey,36.2505,-121.2516,80.71,23,7,3.47,US,clear sky
585,Dodge City,37.7528,-100.0171,83.25,40,1,3.0,US,clear sky
586,San Patricio,28.017,-97.5169,84.06,61,100,12.71,US,overcast clouds
587,Abu Zabad,12.35,29.25,81.66,49,100,11.88,SD,overcast clouds
588,Sioux Lookout,50.1001,-91.917,78.87,41,75,0.0,CA,broken clouds
589,Svetlogorsk,52.6333,29.7333,56.62,72,88,6.69,BY,overcast clouds
590,Kralendijk,12.15,-68.2667,85.98,66,75,18.41,BQ,broken clouds
591,Solnechnyy,50.7214,136.6319,52.52,99,100,5.17,RU,moderate rain
592,Chokwe,-24.5333,32.9833,63.86,65,99,15.68,MZ,overcast clouds
593,Waingapu,-9.6567,120.2641,76.17,89,61,5.77,ID,broken clouds
594,Conceicao Do Araguaia,-8.2578,-49.2647,95.13,38,0,7.16,BR,clear sky
595,Pointe Michel,15.25,-61.3833,90.54,45,40,6.91,DM,scattered clouds
596,Abu Samrah,35.3029,37.1841,68.67,49,0,9.84,SY,clear sky
597,Quang Ngai,15.1167,108.8,81.18,74,100,3.89,VN,overcast clouds
598,Yangambi,0.8102,24.4336,70.25,85,99,2.06,CD,overcast clouds
599,Parati,-23.2178,-44.7131,88.7,55,2,4.18,BR,clear sky
600,Burnie,-41.0667,145.9167,49.95,74,100,12.64,AU,overcast clouds
601,Las Vegas,36.175,-115.1372,103.95,13,1,9.22,US,clear sky
602,Beira,-19.8436,34.8389,73.49,73,40,5.75,MZ,scattered clouds
603,Tombouctou,20.0,-3.0,103.41,9,100,6.96,ML,overcast clouds
604,Xuddur,4.1213,43.8894,76.51,61,52,20.38,SO,broken clouds
605,Talcahuano,-36.7167,-73.1167,62.28,88,75,8.05,CL,broken clouds
606,Horsens,55.8607,9.8503,66.87,68,100,13.31,DK,overcast clouds
607,Arlit,18.7369,7.3853,101.5,7,93,12.01,NE,overcast clouds
608,Tiznit,29.5833,-9.5,67.89,58,100,5.12,MA,overcast clouds
609,Borisoglebskiy,57.2586,39.1508,60.44,80,44,8.39,RU,scattered clouds
610,Licheng,23.2955,113.8284,80.53,93,100,4.0,CN,light rain
611,Yamada,39.4667,141.95,63.52,87,100,20.58,JP,light rain
612,Porto Walter,-8.2686,-72.7439,85.39,62,100,2.64,BR,overcast clouds
613,Mujiayingzi,42.1167,118.7833,55.9,57,100,10.56,CN,light rain
614,Quesnel,52.9999,-122.5029,66.7,52,1,0.0,CA,clear sky
615,Shimoda,34.6667,138.95,67.1,91,100,9.35,JP,moderate rain
616,San Rafael,-34.6177,-68.3301,73.4,26,99,9.37,AR,overcast clouds
617,Aksarka,66.5606,67.7975,35.46,63,16,6.96,RU,few clouds
618,Ballina,-28.8667,153.5667,58.96,77,0,8.05,AU,clear sky
619,Sambava,-14.2667,50.1667,73.67,86,7,10.11,MG,light rain
620,Evensk,61.95,159.2333,40.77,88,62,4.23,RU,broken clouds
621,Saint-Augustin,51.226,-58.6502,60.3,61,68,13.29,CA,broken clouds
622,Petatlan,17.5167,-101.2667,87.6,65,100,3.24,MX,overcast clouds
623,Minbu,20.1833,94.8833,85.71,64,84,6.26,MM,broken clouds
624,Kholm,59.2667,32.85,56.79,67,95,4.88,RU,overcast clouds
625,Laguna,38.421,-121.4238,99.64,49,1,5.14,US,clear sky
626,Wilmington Island,32.0036,-80.9737,84.29,60,90,5.99,US,overcast clouds
627,Yibin,28.7667,104.6238,66.15,82,100,3.29,CN,light rain
628,Puerto Del Rosario,28.5004,-13.8627,73.08,73,20,17.27,ES,few clouds
629,Mbala,-8.8402,31.3659,63.68,66,51,5.77,ZM,broken clouds
630,Kizukuri,40.8061,140.3861,60.94,71,100,6.46,JP,heavy intensity rain
631,Pa Daet,19.5049,99.9924,79.52,66,56,2.98,TH,broken clouds
632,Kyrylivka,46.3759,35.3675,62.02,80,19,11.74,UA,few clouds
633,Gornopravdinsk,60.05,69.9,37.2,80,98,6.53,RU,overcast clouds
634,Lokosovo,61.1333,74.8167,36.86,74,15,5.93,RU,few clouds
635,Arica,-18.475,-70.3042,71.15,60,0,7.2,CL,clear sky
636,Sault Sainte Marie,46.5168,-84.3333,80.89,36,1,13.8,CA,clear sky
637,Abbeville,50.1,1.8333,71.01,89,21,6.67,FR,few clouds
638,Thai Binh,20.45,106.3333,84.87,86,100,6.73,VN,overcast clouds
639,Simao,22.7886,100.9748,65.7,96,99,1.39,CN,overcast clouds
640,Shediac,46.2198,-64.5411,72.12,46,75,11.45,CA,broken clouds
641,Ambulu,-8.345,113.6058,74.77,90,74,2.86,ID,broken clouds
642,Grand Gaube,-20.0064,57.6608,75.6,79,22,5.99,MU,moderate rain
643,Xiongyue,40.1774,122.1228,58.19,71,0,7.18,CN,light rain
644,Golkoy,40.6875,37.6178,49.41,90,4,3.85,TR,clear sky
645,Nikolayevsk-Na-Amure,53.1406,140.73,46.85,97,100,2.55,RU,overcast clouds
646,Kushmurun,52.4503,64.6311,59.27,68,45,16.55,KZ,scattered clouds
647,Roma,43.2128,-75.4557,75.06,79,90,9.22,US,light rain
648,Ures,29.4333,-110.4,97.7,12,16,8.79,MX,few clouds
649,Clarence Town,-32.5833,151.7833,57.94,89,7,10.89,AU,clear sky
650,Christchurch,-43.5333,172.6333,39.4,100,90,4.61,NZ,fog
651,Port Macquarie,-31.4333,152.9167,51.76,87,4,8.88,AU,clear sky
652,Peniche,39.3558,-9.3811,65.73,68,0,22.39,PT,clear sky
653,Saint-Pierre,-21.3393,55.4781,73.04,74,0,8.05,RE,clear sky
654,Murindo,6.9848,-76.7544,90.28,57,100,1.52,CO,overcast clouds
655,Oktyabrskiy,54.4815,53.471,53.51,69,100,17.16,RU,overcast clouds
656,Kissidougou,9.1848,-10.0999,73.72,92,97,4.07,GN,moderate rain
657,San Luis,-33.295,-66.3356,71.15,39,13,17.94,AR,few clouds
658,Adrar,20.5022,-10.0711,102.99,13,100,15.86,MR,overcast clouds
659,Ceres,37.5949,-120.9577,100.31,38,1,10.36,US,clear sky
660,Parana,-31.732,-60.5238,74.57,41,5,10.33,AR,clear sky
661,Aguimes,27.9054,-15.4461,70.75,56,20,20.71,ES,few clouds
662,Daraitan,14.6028,121.4319,80.71,94,99,3.76,PH,overcast clouds
663,Kurchum,48.5722,83.6542,70.77,58,100,3.53,KZ,overcast clouds
664,Tonantins,-2.8731,-67.8022,86.38,69,34,4.25,BR,scattered clouds
665,Kapoeta,4.7717,33.5903,80.53,58,100,6.98,SS,light rain
666,Moranbah,-22.0016,148.0466,58.33,83,21,4.5,AU,few clouds
667,Bilma,18.6853,12.9164,101.05,9,100,9.19,NE,overcast clouds
668,Bichena,10.45,38.2,66.11,37,100,5.66,ET,overcast clouds
669,Kushima,31.4583,131.2333,77.63,95,100,12.46,JP,light rain
670,Aitape,-3.1374,142.3475,77.04,87,45,3.8,PG,scattered clouds
671,Piacabucu,-10.4056,-36.4344,79.5,75,6,9.66,BR,clear sky
672,Gladstone,-23.85,151.25,66.13,88,75,3.44,AU,broken clouds
673,Aleksandrovskoye,44.7142,43.0008,59.14,91,100,7.18,RU,light rain
674,Derzhavinsk,51.1,66.3167,69.64,42,0,1.68,KZ,clear sky
675,Robertsport,6.7533,-11.3686,81.5,80,100,8.16,LR,light rain
676,Llanes,43.4198,-4.7549,58.86,89,100,8.57,ES,overcast clouds
677,San Quintin,30.4833,-115.95,68.2,64,1,9.57,MX,clear sky
678,Canutama,-6.5339,-64.3831,94.39,33,0,3.58,BR,clear sky
679,Baykit,61.67,96.37,43.52,82,100,4.27,RU,overcast clouds
680,Ust-Kulom,61.6864,53.6902,46.8,55,0,3.06,RU,clear sky
681,Letpadan,17.7833,95.75,82.71,74,100,10.18,MM,overcast clouds
682,Upanema,-5.6419,-37.2578,96.48,26,17,13.31,BR,few clouds
683,Tahta,26.7693,31.5021,91.72,16,0,18.81,EG,clear sky
684,Tignere,7.3667,12.65,69.91,81,44,2.42,CM,scattered clouds
685,Curup,-3.4667,102.5333,70.59,99,93,1.32,ID,overcast clouds
686,Oleggio,45.6015,8.6434,79.32,43,0,6.91,IT,clear sky
687,Dwarka,22.2394,68.9678,83.62,80,16,17.56,IN,few clouds
688,Bonavista,48.6499,-53.1147,77.0,66,11,12.84,CA,few clouds
689,Bilibino,68.0546,166.4372,51.57,38,1,0.96,RU,clear sky
690,Harper,4.375,-7.7169,80.15,82,100,6.87,LR,overcast clouds
691,Surgut,61.25,73.4167,39.38,100,75,5.95,RU,broken clouds
